direction,run,date,baseline_ticker,gps_ticker,baseline_value,gps_value
short,2,2016-01-01,LE,LE,1014.7190259700958,1014.7190259700958
short,2,2016-02-01,HE,HE,985.3974215824419,985.3974215824419
short,2,2016-03-01,SU,SU,913.4104662564058,913.4104662564058
short,2,2016-04-01,CF,CF,884.6643766609618,884.6643766609618
short,2,2016-05-01,CT,CT,810.7259779601344,810.7259779601344
short,2,2016-06-01,ZC,ZC,813.057752163135,813.057752163135
short,2,2016-07-01,NG,NG,891.8806345427034,891.8806345427034
short,2,2016-08-01,HE,HE,782.2577654322831,782.2577654322831
short,2,2016-09-01,CO,SV,732.4306546598879,743.5027205701746
short,2,2016-10-01,CC,HO,717.0337794912849,757.5405707296788
short,2,2016-11-01,SU,CO,866.0430405331044,678.0138528386545
short,2,2016-12-01,SV,NG,911.7160036748253,561.1682385799922
short,2,2017-01-01,LE,LE,911.929354440375,561.2995576232258
short,2,2017-02-01,HE,HE,726.3816765603968,447.093529486363
short,2,2017-03-01,SU,SV,907.3280063151639,456.344167005506
short,2,2017-04-01,SU,ZC,844.7145898146476,394.41528969922206
short,2,2017-05-01,CP,CF,759.4140420846043,346.2131197946506
short,2,2017-06-01,ZC,ZW,801.807172973265,350.2948256627681
short,2,2017-07-01,NG,HE,746.5218398947324,327.2589232862913
short,2,2017-08-01,HE,CT,787.7967937997569,343.4190571545683
short,2,2017-09-01,CO,SV,783.8531766031001,366.76874556636915
short,2,2017-10-01,CC,HO,719.1282383297871,354.84407328840325
short,2,2017-11-01,SU,CP,730.9759869608417,348.85522036117294
short,2,2017-12-01,SV,CO,755.2479349478948,360.08995050141533
short,2,2018-01-01,ZW,CO,634.1025391072438,309.04300991201364
short,2,2018-02-01,NG,HE,697.1473658087269,371.07248151198127
short,2,2018-03-01,SU,ZS,869.9600138225752,346.7223794443116
short,2,2018-04-01,CF,ZC,914.5269523569913,281.14024767766153
short,2,2018-05-01,CT,CO,856.2375527376871,295.7729685624788
short,2,2018-06-01,ZC,CC,953.0098878780185,305.9474225522691
short,2,2018-07-01,NG,GD,995.4482441907094,320.89739444257754
short,2,2018-08-01,HE,LE,1057.7340970295759,325.3317705963616
short,2,2018-09-01,ZS,CP,1026.13829693593,302.72262895485943
short,2,2018-10-01,HO,HE,1059.677538764038,275.3608674074441
short,2,2018-11-01,SU,GD,996.180279173736,274.67008303934205
short,2,2018-12-01,SV,CC,898.8034049976817,232.9689972012016
short,2,2019-01-01,NG,ZC,1009.659683196481,218.39224238511895
short,2,2019-02-01,NG,ZW,983.817292466799,243.38220769094787
short,2,2019-03-01,SU,ZS,973.145246614132,243.24363902966022
short,2,2019-04-01,CF,CP,1111.6882975596277,259.9189528999369
short,2,2019-05-01,CT,CF,1255.9369285232397,247.07518227845767
short,2,2019-06-01,CT,SV,1254.752611908917,227.6737543105705
short,2,2019-07-01,HE,HO,1120.411656586656,240.73091787204442
short,2,2019-08-01,HE,SU,1266.0589187041576,253.806890511051
short,2,2019-09-01,SV,LE,1328.1013666117294,247.62276411182273
short,2,2019-10-01,HO,CO,1510.0911423255861,271.4691649281781
short,2,2019-11-01,SU,CO,1495.8588659552672,263.48558961976045
short,2,2019-12-01,SV,SV,1311.9983443260908,231.0997816723488
short,2,2020-01-01,NG,GD,1277.0907374743367,231.15814608524144
short,2,2020-02-01,NG,HO,1426.900525961072,278.4390977390719
short,2,2020-03-01,SU,CT,1985.13258695066,313.56940032798167
short,2,2020-04-01,SU,NG,2132.666402449471,290.41271765172615
short,2,2020-05-01,CO,SU,1301.3159996534077,321.19937443943286
short,2,2020-06-01,CT,HE,1380.660647776583,368.95055830156394
short,2,2020-07-01,HE,ZW,1123.9344712462719,340.62686568149405
short,2,2020-08-01,LE,HE,1034.3748416308138,345.10717652225884
short,2,2020-09-01,ZC,SV,955.3812328326914,369.6852481029654
