Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2022-12-01,[ZC | 30.0%],[SV | 30.0%],[CP | 20.0%],[LE | 10.0%],[CO | 10.0%],[GD | 20.0%],[SU | 10.0%],[ZW | 10.0%],[CP | 10.0%],[HE | 10.0%]
2023-01-01,[NG | 40.0%],[SV | 20.0%],[ZC | 20.0%],[GD | 20.0%],,[ZS | 20.0%],[CP | 10.0%],[SU | 10.0%],[CO | 10.0%],[HO | 10.0%]
2023-02-01,[CP | 50.0%],[HO | 20.0%],[CO | 20.0%],[SV | 10.0%],,[ZS | 30.0%],[GD | 10.0%],[CF | 10.0%],[ZC | 10.0%],[CP | 10.0%]
2023-03-01,[NG | 60.0%],[ZW | 20.0%],[CC | 10.0%],[HE | 10.0%],,[CO | 20.0%],[CT | 20.0%],[CP | 20.0%],[HE | 10.0%],[NG | 10.0%]
2023-04-01,[CT | 40.0%],[HO | 30.0%],[NG | 20.0%],[CO | 10.0%],,[ZC | 30.0%],[SU | 20.0%],[NG | 10.0%],[CF | 10.0%],[ZW | 10.0%]
2023-05-01,[CO | 70.0%],[CF | 10.0%],[SV | 10.0%],[HO | 10.0%],,[SU | 30.0%],[HE | 20.0%],[ZC | 10.0%],[GD | 10.0%],[NG | 10.0%]
2023-06-01,[CO | 40.0%],[NG | 20.0%],[CF | 20.0%],[ZW | 10.0%],[LE | 10.0%],[CC | 20.0%],[HO | 20.0%],[SU | 10.0%],[SV | 10.0%],[NG | 10.0%]
2023-07-01,[NG | 50.0%],[SV | 20.0%],[CF | 20.0%],[CO | 10.0%],,[ZW | 20.0%],[CF | 20.0%],[CP | 10.0%],[NG | 10.0%],[CT | 10.0%]
2023-08-01,[NG | 90.0%],[GD | 10.0%],,,,[CC | 40.0%],[ZC | 10.0%],[SU | 10.0%],[NG | 10.0%],[CF | 10.0%]
2023-09-01,[ZW | 20.0%],[SU | 20.0%],[CO | 20.0%],[ZC | 10.0%],[HE | 10.0%],[CT | 30.0%],[CP | 20.0%],[HE | 10.0%],[CF | 10.0%],[LE | 10.0%]
2023-10-01,[ZC | 40.0%],[LE | 20.0%],[ZW | 20.0%],[SV | 10.0%],[ZS | 10.0%],[CP | 20.0%],[HE | 20.0%],[ZW | 20.0%],[CO | 10.0%],[SV | 10.0%]
2023-11-01,[CT | 30.0%],[CP | 30.0%],[CF | 10.0%],[HE | 10.0%],[SU | 10.0%],[LE | 30.0%],[CF | 20.0%],[ZS | 10.0%],[SU | 10.0%],[ZC | 10.0%]
2023-12-01,[GD | 30.0%],[ZC | 20.0%],[SV | 20.0%],[SU | 10.0%],[CT | 10.0%],[ZC | 20.0%],[SU | 10.0%],[ZW | 10.0%],[HO | 10.0%],[GD | 10.0%]
2024-01-01,[ZC | 30.0%],[GD | 30.0%],[CO | 10.0%],[ZS | 10.0%],[CT | 10.0%],[ZC | 20.0%],[SU | 20.0%],[NG | 10.0%],[CP | 10.0%],[CC | 10.0%]
