run,direction,strategy,sharpe,sortino,treynor_adj,treynor_raw,information,calmar,cum_ret,mdd_raw,mdd_mag,mer_m,one_minus_mdd,mer_ann
865,long,weighted,0.2908538109112069,0.441659189208826,0.0419979405423274,0.0419979405423274,,0.08743183644132134,0.329218891168916,-0.3674466860921596,0.3674466860921596,0.0,0.6325533139078404,0.0
865,short,baseline,0.01785937184336362,0.03319605952552697,0.010914114025220769,-0.010914114025220769,-0.06489043424364654,-0.1257493473550647,-0.5730805819430587,-0.7176099560907183,0.7176099560907183,-0.002806851644286656,0.2823900439092817,-0.03368221973143987
865,short,gps,0.010160293714640981,0.021000715168343738,0.004316442675417676,-0.004316442675417676,-0.08502109077973768,-0.08370555279601694,-0.43812773055313026,-0.7412304254348956,0.7412304254348956,-0.0031792658098315782,0.2587695745651044,-0.03815118971797894
866,long,baseline,0.23985812035905313,0.36042730398193557,0.05704647579517132,0.05704647579517132,0.17936551245372204,-0.022413038983527988,-0.15462303233372354,-0.8249902744083847,0.8249902744083847,0.007152709806745429,0.17500972559161532,0.08583251768094516
866,long,gps,-0.04826421320594634,-0.08011713309948039,-0.07042839504225243,-0.07042839504225243,-0.17175050468008565,-0.09817953334288292,-0.5118486212398814,-0.780093403103758,0.780093403103758,-0.005280144654327117,0.21990659689624203,-0.06336173585192541
866,long,weighted,0.32341962066890656,0.4762892075383417,0.04625829991141207,0.04625829991141207,,0.09403035769802753,0.3828533236255196,-0.3900124261687008,0.3900124261687008,0.0,0.6099875738312992,0.0
866,short,baseline,0.02052918495286031,0.03242295718881173,0.007845152571557604,-0.007845152571557604,-0.07344693246998173,-0.09519138861809073,-0.5359870632517378,-0.859088233705449,0.859088233705449,-0.0031079051106225044,0.14091176629455104,-0.03729486132747005
866,short,gps,0.21174354087579694,0.3446993792355253,0.0726247754293935,-0.0726247754293935,0.08993173728362831,-0.0009342716193848692,-0.006253537093331318,-0.7457962707403106,0.7457962707403106,0.003841317078708456,0.25420372925968937,0.04609580494450147
867,long,baseline,-0.027048261347917213,-0.043712959810718356,-0.01284256851928639,-0.01284256851928639,-0.10664585660237727,-0.12362604195281539,-0.6281925320757515,-0.8420884477132393,0.8420884477132393,-0.0037223738576096285,0.15791155228676068,-0.04466848629131554
867,long,gps,-0.03970586879614291,-0.07710065994190424,-0.016813192189186768,-0.016813192189186768,-0.13931257302711958,-0.09056985323276313,-0.4973165366845016,-0.8123506357339771,0.8123506357339771,-0.003919031832898306,0.18764936426602286,-0.04702838199477967
867,long,weighted,0.21974387412860868,0.35090304849648934,0.03274048879250277,0.03274048879250277,,0.047978789205999836,0.21529917789255926,-0.45649318009972983,0.45649318009972983,0.0,0.5435068199002702,0.0
867,short,baseline,-0.04269470705779611,-0.07911683083529901,-0.020118647158537423,0.020118647158537423,-0.1033150722095664,-0.1063453043505369,-0.6097116283981037,-0.933394982639684,0.933394982639684,-0.004238608292943482,0.06660501736031599,-0.05086329951532178
867,short,gps,0.07231070457369129,0.10211012968728675,0.03261688027591745,-0.03261688027591745,-0.0047220494331327535,-0.0808306381620424,-0.4199357578948648,-0.7264375034672921,0.7264375034672921,-0.00019303211055646046,0.2735624965327079,-0.0023163853266775255
868,long,baseline,-0.09529107873369516,-0.17354789150826974,-0.039361471410750776,-0.039361471410750776,-0.14488609666877492,-0.17527401101733608,-0.7918243656476698,-0.9129589829766512,0.9129589829766512,-0.005808153317848723,0.08704101702334877,-0.06969783981418468
868,long,gps,0.18283687743235846,0.3017895715539605,0.1920416084727135,0.1920416084727135,0.12703910981669284,-0.003676043244500161,-0.023983798943061352,-0.7327740600060626,0.7327740600060626,0.004230134508305342,0.2672259399939374,0.05076161409966411
868,long,weighted,0.15475591328881047,0.2348099725095991,0.021210914871408575,0.021210914871408575,,0.026966040504036674,0.11219897642790877,-0.4407593883429203,0.4407593883429203,0.0,0.5592406116570797,0.0
868,short,baseline,0.5972285264329906,1.3495958679901372,0.32535140870054186,-0.32535140870054186,0.5094535129001054,0.379004904543562,4.615851147885592,-0.5576353364596145,0.5576353364596145,0.02465510544679854,0.4423646635403855,0.29586126536158247
868,short,gps,0.14059117874585886,0.288632789644396,0.08372865492032477,-0.08372865492032477,0.08466237409504983,-0.042984534893005834,-0.2357929532945474,-0.684842376719289,0.684842376719289,0.003553962107776872,0.31515762328071095,0.042647545293322466
869,long,baseline,0.04980602011685922,0.08041658819691763,0.016870191495731046,0.016870191495731046,0.01142741244617681,-0.09612939572198693,-0.5379691253889912,-0.8552476184666775,0.8552476184666775,0.00041134171752411447,0.14475238153332248,0.004936100610289373
869,long,gps,-0.11378039769325518,-0.15553500022359382,-0.04102961431109825,-0.04102961431109825,-0.17286248970001886,-0.14724812892558167,-0.6882298827847071,-0.8248957386555739,0.8248957386555739,-0.005320495341943258,0.17510426134442614,-0.06384594410331909
869,long,weighted,0.13405187249464193,0.2102054901202166,0.018425916839071015,0.018425916839071015,,0.019822699584539718,0.08431006897313065,-0.4557569201110345,0.4557569201110345,0.0,0.5442430798889655,0.0
869,short,baseline,0.5762688069509684,1.1342535286551068,0.2902858646568499,-0.2902858646568499,0.4693920040546305,0.23760976048644325,3.114034238152878,-0.7162086349859393,0.7162086349859393,0.018608516744524857,0.28379136501406066,0.22330220093429828
