Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-07-01,[CT | 11.5%],[CP | 8.4%],[NG | 7.6%],[ZS | 7.5%],[ZC | 7.2%],[CT | 8.5%],[NG | 7.9%],[ZS | 7.7%],[CO | 7.6%],[GD | 7.3%]
2021-08-01,[GD | 11.9%],[CC | 8.4%],[SV | 8.0%],[NG | 7.3%],[ZS | 7.0%],[GD | 10.1%],[SV | 8.4%],[CC | 7.4%],[SU | 6.9%],[ZS | 6.8%]
2021-09-01,[CT | 12.2%],[ZS | 8.8%],[NG | 8.1%],[ZW | 7.5%],[CC | 7.5%],[CT | 9.1%],[ZS | 7.7%],[CC | 7.6%],[NG | 7.6%],[GD | 7.4%]
2021-10-01,[LE | 10.6%],[CC | 9.3%],[CO | 9.0%],[GD | 8.5%],[ZS | 7.7%],[LE | 9.6%],[SV | 9.0%],[CC | 8.1%],[ZS | 7.7%],[GD | 6.9%]
2021-11-01,[CT | 10.8%],[HE | 8.8%],[CP | 8.4%],[ZS | 8.2%],[LE | 7.8%],[CT | 8.2%],[CC | 7.5%],[LE | 7.4%],[CP | 7.4%],[NG | 7.4%]
2021-12-01,[LE | 9.3%],[GD | 9.2%],[SV | 8.0%],[HE | 7.7%],[NG | 7.6%],[GD | 8.7%],[HE | 8.3%],[CF | 7.8%],[LE | 7.8%],[CO | 7.6%]
2022-01-01,[CT | 11.7%],[SV | 8.7%],[CP | 8.1%],[NG | 7.9%],[GD | 7.4%],[CT | 10.5%],[SV | 7.8%],[ZS | 7.7%],[CP | 7.6%],[ZC | 7.0%]
2022-02-01,[LE | 9.7%],[CF | 8.3%],[HE | 8.2%],[GD | 8.1%],[SV | 7.0%],[LE | 8.8%],[NG | 8.2%],[HE | 7.9%],[SV | 7.7%],[CF | 7.2%]
2022-03-01,[ZW | 11.0%],[CT | 10.1%],[CP | 8.7%],[CC | 8.5%],[ZC | 8.1%],[ZW | 8.2%],[CP | 7.8%],[ZC | 7.5%],[CT | 7.4%],[SV | 7.4%]
2022-04-01,[LE | 9.8%],[HE | 9.0%],[NG | 8.3%],[CT | 7.2%],[SU | 6.9%],[HE | 8.3%],[CC | 8.2%],[LE | 8.2%],[SU | 7.7%],[SV | 7.0%]
2022-05-01,[ZW | 8.9%],[GD | 8.5%],[ZS | 8.3%],[CT | 7.7%],[ZC | 7.6%],[CC | 8.5%],[LE | 7.8%],[ZW | 7.6%],[GD | 7.5%],[SV | 7.3%]
2022-06-01,[LE | 10.6%],[GD | 8.6%],[CC | 8.2%],[CP | 8.2%],[SV | 7.4%],[LE | 7.9%],[CO | 7.4%],[CF | 7.4%],[GD | 7.2%],[SV | 7.2%]
2022-07-01,[ZC | 11.0%],[ZS | 10.2%],[ZW | 8.8%],[GD | 8.7%],[LE | 7.4%],[ZW | 8.1%],[CT | 7.8%],[SV | 7.8%],[ZS | 7.8%],[CP | 7.2%]
2022-08-01,[NG | 10.9%],[CP | 9.4%],[CC | 8.1%],[LE | 7.7%],[CT | 7.6%],[NG | 9.0%],[CT | 7.9%],[CP | 7.6%],[CC | 7.5%],[HE | 7.2%]
2022-09-01,[ZS | 9.7%],[ZC | 8.7%],[ZW | 8.0%],[LE | 7.4%],[CP | 7.1%],[ZC | 7.9%],[ZS | 7.6%],[CP | 7.6%],[SU | 7.3%],[CF | 7.1%]
2022-10-01,[HE | 10.0%],[NG | 8.8%],[CP | 8.5%],[GD | 8.3%],[ZS | 7.8%],[NG | 8.4%],[LE | 8.0%],[HE | 8.0%],[ZS | 7.8%],[CP | 7.2%]
2022-11-01,[ZS | 10.5%],[GD | 8.9%],[ZC | 7.7%],[CT | 7.5%],[SU | 7.2%],[GD | 9.3%],[CC | 7.7%],[ZW | 7.6%],[CT | 7.2%],[SU | 6.9%]
2022-12-01,[NG | 9.8%],[CP | 8.4%],[SU | 8.4%],[GD | 8.1%],[CC | 7.9%],[CF | 8.3%],[CP | 7.9%],[ZW | 7.5%],[SU | 7.5%],[CT | 7.3%]
2023-01-01,[ZC | 8.3%],[CF | 8.2%],[ZW | 8.0%],[ZS | 7.6%],[CC | 7.5%],[CP | 7.8%],[ZS | 7.5%],[CT | 7.5%],[CF | 7.4%],[SV | 7.0%]
2023-02-01,[CP | 10.8%],[CC | 9.4%],[NG | 8.4%],[LE | 7.2%],[GD | 6.9%],[CC | 8.8%],[CT | 7.8%],[CO | 7.7%],[SV | 7.4%],[CP | 7.2%]
2023-03-01,[ZC | 8.8%],[LE | 8.1%],[ZS | 8.1%],[SV | 7.7%],[HE | 7.4%],[HE | 8.4%],[ZS | 7.6%],[ZC | 7.3%],[SU | 7.3%],[CF | 7.3%]
2023-04-01,[NG | 10.5%],[CP | 10.1%],[CT | 7.8%],[CF | 6.9%],[GD | 6.8%],[CP | 8.2%],[NG | 7.6%],[LE | 7.5%],[CT | 7.5%],[SU | 7.4%]
2023-05-01,[HE | 8.9%],[ZC | 8.0%],[HO | 7.8%],[ZS | 7.5%],[CT | 7.0%],[CT | 7.8%],[NG | 7.8%],[CF | 7.5%],[HE | 7.2%],[ZS | 6.8%]
2023-06-01,[NG | 10.5%],[CP | 9.3%],[GD | 9.2%],[ZS | 6.9%],[SV | 6.7%],[CP | 10.3%],[LE | 7.5%],[CF | 7.3%],[HE | 7.0%],[GD | 6.9%]
2023-07-01,[HE | 8.4%],[NG | 7.9%],[CF | 7.8%],[GD | 7.8%],[CC | 7.8%],[LE | 9.3%],[GD | 8.0%],[HE | 7.6%],[NG | 7.5%],[CC | 7.0%]
2023-08-01,[CP | 9.6%],[GD | 8.8%],[NG | 7.9%],[CT | 7.6%],[ZW | 7.4%],[GD | 8.2%],[ZC | 7.9%],[CT | 7.8%],[ZW | 7.3%],[LE | 7.2%]
2023-09-01,[HE | 10.6%],[NG | 9.4%],[GD | 8.0%],[CF | 7.9%],[LE | 7.0%],[HE | 7.8%],[LE | 7.7%],[ZS | 7.5%],[CF | 7.4%],[CO | 7.3%]
2023-10-01,[CP | 10.8%],[GD | 9.0%],[ZC | 8.8%],[NG | 7.2%],[CT | 7.2%],[CP | 8.9%],[ZC | 7.4%],[SU | 7.3%],[GD | 7.3%],[CT | 7.3%]
