Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-04-01,[CP | 11.5%],[CT | 11.3%],[ZS | 8.1%],[ZC | 7.3%],[SU | 7.1%],[CT | 8.6%],[CP | 8.2%],[ZS | 7.9%],[ZC | 7.2%],[HE | 7.1%]
2021-05-01,[SU | 9.8%],[LE | 9.8%],[ZW | 8.0%],[HE | 7.4%],[ZC | 7.4%],[GD | 9.2%],[CO | 8.6%],[LE | 8.3%],[SU | 8.3%],[CC | 8.0%]
2021-06-01,[CP | 11.6%],[CT | 9.8%],[GD | 8.1%],[SU | 8.0%],[HE | 6.7%],[CT | 9.4%],[CP | 9.3%],[SU | 8.4%],[CF | 6.8%],[HE | 6.8%]
2021-07-01,[HO | 8.6%],[LE | 8.1%],[ZC | 8.0%],[CO | 7.9%],[CF | 7.7%],[LE | 8.0%],[CF | 7.7%],[HO | 7.3%],[GD | 7.3%],[HE | 7.2%]
2021-08-01,[CT | 11.9%],[CP | 7.9%],[ZC | 7.8%],[HE | 7.7%],[CF | 7.2%],[CT | 8.9%],[SU | 8.3%],[HE | 7.3%],[CF | 7.2%],[HO | 6.9%]
2021-09-01,[SU | 9.3%],[HE | 8.8%],[CP | 8.6%],[LE | 8.5%],[CF | 8.4%],[SU | 7.9%],[LE | 7.7%],[HE | 7.5%],[CF | 7.3%],[GD | 7.3%]
2021-10-01,[CT | 11.0%],[SU | 8.9%],[GD | 7.5%],[NG | 7.5%],[ZC | 7.1%],[SU | 9.0%],[CF | 8.4%],[CP | 7.5%],[CT | 7.2%],[ZW | 6.9%]
2021-11-01,[GD | 8.3%],[HE | 8.3%],[CF | 8.3%],[SU | 8.1%],[SV | 7.7%],[SV | 9.0%],[ZC | 7.9%],[CO | 7.3%],[CF | 6.9%],[GD | 6.8%]
2021-12-01,[CT | 11.4%],[SU | 9.8%],[ZC | 8.7%],[ZS | 7.6%],[CP | 6.9%],[CT | 9.0%],[ZC | 8.0%],[SU | 7.8%],[ZS | 7.5%],[HO | 7.2%]
2022-01-01,[LE | 10.3%],[CF | 9.8%],[HE | 7.8%],[SU | 7.0%],[CO | 7.0%],[CF | 9.3%],[HE | 8.8%],[LE | 8.2%],[CO | 7.6%],[ZC | 7.3%]
2022-02-01,[CT | 10.4%],[CP | 9.9%],[ZW | 8.1%],[ZS | 7.7%],[ZC | 7.3%],[HO | 8.5%],[ZS | 8.4%],[ZC | 8.4%],[CT | 7.8%],[CP | 6.8%]
2022-03-01,[HO | 10.1%],[GD | 8.2%],[HE | 7.9%],[ZS | 7.9%],[LE | 7.4%],[HO | 8.9%],[HE | 7.7%],[ZS | 7.1%],[CT | 7.0%],[GD | 7.0%]
2022-04-01,[ZC | 9.5%],[ZS | 8.7%],[GD | 8.4%],[CP | 8.3%],[CF | 7.2%],[ZC | 9.3%],[CP | 7.8%],[ZS | 7.7%],[GD | 7.6%],[HO | 7.1%]
2022-05-01,[HO | 11.1%],[NG | 8.1%],[HE | 7.9%],[CF | 7.9%],[ZS | 7.3%],[HO | 10.5%],[NG | 7.6%],[HE | 7.5%],[CF | 7.2%],[CT | 7.0%]
2022-06-01,[HO | 10.2%],[ZS | 9.3%],[ZC | 9.2%],[CT | 8.3%],[ZW | 7.9%],[CT | 8.3%],[HO | 8.2%],[SU | 7.9%],[ZC | 7.7%],[ZS | 7.5%]
2022-07-01,[HO | 8.8%],[HE | 8.4%],[CC | 8.2%],[CT | 7.5%],[LE | 7.0%],[CT | 7.8%],[HO | 7.7%],[NG | 7.5%],[CC | 7.5%],[GD | 7.1%]
2022-08-01,[ZW | 10.3%],[ZC | 9.7%],[CF | 8.2%],[ZS | 7.9%],[HO | 7.6%],[ZW | 9.2%],[ZS | 7.7%],[ZC | 7.6%],[CF | 7.3%],[SU | 7.2%]
2022-09-01,[HO | 9.6%],[NG | 9.5%],[HE | 8.4%],[CP | 7.8%],[LE | 7.1%],[HO | 8.6%],[LE | 8.6%],[CO | 7.6%],[HE | 7.2%],[GD | 7.2%]
2022-10-01,[HO | 9.4%],[ZC | 9.2%],[LE | 7.1%],[GD | 7.0%],[ZS | 6.9%],[CF | 8.5%],[CC | 7.7%],[ZC | 7.3%],[ZS | 7.3%],[CT | 7.2%]
2022-11-01,[HO | 10.4%],[NG | 9.7%],[HE | 7.8%],[LE | 7.2%],[GD | 7.1%],[NG | 8.6%],[HO | 8.5%],[CC | 8.0%],[LE | 6.9%],[CF | 6.9%]
2022-12-01,[ZC | 11.3%],[HO | 10.6%],[ZS | 9.3%],[HE | 7.8%],[LE | 7.0%],[ZS | 8.9%],[HO | 8.8%],[LE | 8.3%],[ZC | 7.8%],[CF | 7.2%]
2023-01-01,[NG | 9.8%],[CC | 7.7%],[HO | 7.6%],[ZW | 7.3%],[SV | 7.1%],[HO | 8.5%],[NG | 7.7%],[CC | 7.4%],[GD | 7.1%],[ZS | 7.1%]
2023-02-01,[ZS | 9.5%],[HO | 9.3%],[ZC | 9.1%],[GD | 7.1%],[HE | 7.0%],[NG | 7.8%],[ZS | 7.8%],[ZW | 7.7%],[ZC | 7.7%],[CO | 6.9%]
2023-03-01,[CT | 9.9%],[CP | 9.5%],[ZW | 8.8%],[GD | 8.7%],[ZS | 7.9%],[ZW | 8.1%],[CP | 8.1%],[ZS | 8.1%],[NG | 8.0%],[HO | 7.8%]
2023-04-01,[ZC | 9.6%],[ZS | 8.9%],[SU | 8.2%],[HO | 8.2%],[HE | 7.3%],[ZW | 8.9%],[ZC | 8.0%],[ZS | 7.5%],[CT | 7.2%],[GD | 7.1%]
2023-05-01,[SU | 10.9%],[GD | 9.5%],[CP | 9.1%],[NG | 8.2%],[CT | 7.2%],[GD | 9.0%],[SU | 7.9%],[CC | 7.6%],[NG | 7.3%],[CT | 7.2%]
2023-06-01,[SU | 8.9%],[NG | 8.3%],[CT | 7.9%],[HE | 7.7%],[LE | 7.6%],[ZS | 8.1%],[CO | 8.1%],[SU | 7.9%],[HE | 7.6%],[LE | 7.5%]
2023-07-01,[CP | 8.8%],[ZC | 8.8%],[SU | 8.5%],[GD | 8.3%],[LE | 8.3%],[LE | 8.4%],[SU | 7.5%],[ZC | 7.3%],[CF | 7.2%],[CP | 7.2%]
2023-08-01,[LE | 8.6%],[HO | 8.5%],[CO | 8.2%],[SU | 7.9%],[HE | 7.5%],[LE | 8.5%],[SU | 7.8%],[ZC | 7.6%],[HO | 7.4%],[CF | 7.4%]
