run,direction,strategy,sharpe,sortino,treynor,information,calmar,cum_ret,mdd,mer
207,short,gps,0.1171970184788306,0.2918841435978789,0.0338650919794561,0.31264600117439606,-0.06298993511239714,-0.3932326697517584,0.857272278749084,0.013034379098861704
207,short,weighted,0.3540629725747058,0.7116920963892079,0.05431467472424982,5.82697191965519,0.14122001148008298,0.49524220456225776,0.32369865640050044,0.012299370942836375
208,long,baseline,0.3919821232493493,0.659399105441187,0.18156067788170938,0.23421339035738983,0.12855297564827434,1.024804895364737,0.6342908345703075,0.007417019030735095
208,long,gps,0.18178024465916698,0.3544620799115145,0.09246922008085717,0.02421077280732944,-0.005380458735785035,-0.032553759343977307,0.6821938961509459,0.0008276572785282037
208,long,weighted,0.4623100541987171,0.6910511211942629,0.06782183435534937,,0.1788172550610092,0.6702458257921937,0.32800177808242736,0.0
208,short,baseline,0.16615037987811504,0.3221368901024719,0.05377872375429005,0.45678935125823705,-0.02431924775637824,-0.14861350658192185,0.7285475192568639,0.014822711623301645
208,short,gps,-0.29612456390899056,-0.42797426247283615,-0.17786508656127592,-0.01078254126742834,-0.1814309283341518,-0.806310608291737,0.9189322236011701,-0.0003268955063175022
208,short,weighted,0.274341049721243,0.5656189947065464,0.041042485756427424,5.077999586988811,0.09685223805434713,0.32131806313070443,0.32464993724779134,0.012360313217086905
209,long,baseline,0.30564556724131353,0.5948345469035867,0.10052279856868304,0.22020729736305608,0.07013542981074346,0.4819970636562909,0.6370448913823827,0.007215106448951695
209,long,gps,0.4211812797527493,0.9319762789083103,0.2698675735792052,0.3106564409848917,0.15407791814172447,1.3412030699798558,0.6433712647782258,0.01022164142123969
209,long,weighted,0.3191672669511741,0.5613159920905916,0.046483512261451525,,0.07632594979614661,0.3822642421198177,0.47983589752366496,0.0
209,short,baseline,0.4715167219712176,1.2058009369347438,0.2365179520109874,0.6780418559576334,0.248470736130377,2.2480492401538905,0.562835045522873,0.025948367779092436
209,short,gps,-0.21552411103945548,-0.3974118629006355,-0.11729137310940749,0.02473714176805663,-0.15623809300383,-0.7175684344946878,0.8388406291485535,0.000714978287769665
209,short,weighted,0.4229176997883334,0.8188061806693735,0.06212702675437205,5.15173773177454,0.12021640103207117,0.6165965791936652,0.4560030302400433,0.012512893485092142
210,long,baseline,0.41774193283242506,0.7464640912840308,0.11565706122602473,0.2690239229799169,0.12414775933182728,1.3290289778073476,0.7933513193900967,0.009750875994752044
210,long,gps,-0.09683732861475997,-0.13923110158215427,-0.045554106462250596,-0.39286019152014007,-0.12459414852235581,-0.5358882978396635,0.6561791939969026,-0.010188601593538878
210,long,weighted,0.6055801623065976,0.9411498588960868,0.09082337087054101,,0.315085458514391,1.0441431578928806,0.26241403734928337,0.0
210,short,baseline,0.4662469373481855,1.4263583836054554,0.13780830360601484,0.7453146575361955,0.33969349993003073,3.0649814874020676,0.4963875476237345,0.03466948105243643
210,short,gps,0.3438295095105668,0.8815859127348675,0.1073599904332174,0.5995129513523382,0.12447607397681641,0.9586761251738096,0.6230683212153709,0.028722180529751045
210,short,weighted,0.10726783532541372,0.19570723942575738,0.016235517146497618,5.360729091269825,0.010236684280800209,0.046803000612387624,0.497743521808923,0.012038044581208758
211,long,baseline,-0.1352322281316907,-0.22310974233042047,-0.044964299820404036,-0.2625403504986376,-0.16980898826314153,-0.7157295257074252,0.7681103555638351,-0.008138527812333261
211,long,gps,-0.2839909243715776,-0.3722604167345877,-0.1403566084700631,-0.4003496180772871,-0.2196673291895118,-0.8587605603216228,0.8897745457754906,-0.013522942059465992
211,long,weighted,0.29936621239822103,0.5087431754063111,0.04230338574632166,,0.08054165452551315,0.33791171600167336,0.4081658953482813,0.0
211,short,baseline,0.004608154301801018,0.007580191969128387,0.0019603276623642524,0.2200400982260302,-0.10190180112170459,-0.505647128224853,0.738878580227533,0.007003649852334236
