date,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5,portfolio_6,portfolio_7,portfolio_8,portfolio_9,portfolio_10,portfolio_11,portfolio_12,portfolio_13,portfolio_14,portfolio_15
2019-12-31,949.6767178259437,1179.3420743066174,1866.747219795217,702.8735535236563,808.6036319595675,1118.6482291743891,547.120450686429,2065.7975226098447,658.53922159307,1385.1578496029017,1205.7910447590577,2063.6650923655034,998.122275038685,724.0265917393966,947.7324216584223
2020-01-31,963.4532576227334,1398.3935423762014,1792.8794351466859,768.2146124649785,733.0980475867063,1388.1676422898693,558.850713149146,2082.0301212017293,829.0352826788968,1615.1045861567522,1195.6314920480736,2187.0819214793237,1263.1209034868107,804.4235314130095,871.5975927747845
2020-02-29,1055.8935422672037,1462.6497256483879,1856.6668915472171,777.1327474463169,807.1601275643487,1372.676608813182,522.1590395869089,2041.6661966965025,915.8588305993948,1812.9285230345176,1194.0787550441491,2493.0645036407113,1320.6945202282259,818.340874893392,967.2105118339207
2020-03-31,1054.4412422428902,1576.7401601360052,2051.6597651965417,903.5485735399877,853.7453251096442,2937.057090654305,524.5278352863893,1912.204834820029,1034.120951905181,2323.260764754864,1088.999824600264,2964.5158601267653,1609.0588569583817,1116.334364065524,1408.3176581446664
2020-04-30,1173.5097789433844,1683.8017192925934,1919.9361118677696,838.1919557697927,806.5598699611996,3760.1112182001607,542.2398037907479,1715.6053554391544,1116.15380827555,2408.9042652059707,1097.8000353332925,3574.3659854396633,1415.500275044414,1111.6545654273611,1328.9886848694416
2020-05-31,1252.6856760082417,1845.2840742097972,1858.284592577664,849.7703700740703,940.3020223302796,3618.496639852362,440.7713595080902,1470.4509607027117,1106.7903457191494,1492.2377960024442,1053.9031274126555,3497.021972423953,1312.3728726639663,1112.6018466821058,1300.8167242390798
2020-06-30,1284.921757673372,1772.0711817519598,2055.9227773504736,760.916725758936,941.8768024382358,3485.2599379907415,394.79204919106985,1353.945999970112,1072.9353471657978,1405.377692886579,1017.4404270081744,3164.0568589533186,1424.2262402163299,1179.7835969795387,1424.5906851913799
2020-07-31,1271.3426856423716,1607.0802792859663,1902.9745106628081,722.625143614213,870.1080062731538,3442.877723150065,302.15139508115095,1345.3060332776959,1154.0782048983504,1334.210989818986,929.9611007209254,3072.5335098174605,1399.1223029703938,1001.7188438099442,1395.2573941180879
2020-08-31,1294.2089426004966,1499.33865351059,1912.3778411932947,674.7043348966921,868.6183071391908,2993.6068032241583,289.5547980164189,1226.776038088257,1040.5847888158496,1288.0994741930328,876.2776039610336,3141.2551861294564,1066.0873060459514,910.5351285096764,1329.3829734981146
2020-09-30,1517.8682530043186,1504.4676772061728,2045.1411780451076,632.6187618962513,805.4949618415562,2897.0839670454357,349.5131863598268,1413.052294397974,1086.0909594312293,1263.0048937631582,768.1159929760731,3394.7455100879074,1052.1073672846123,945.7295569410179,1261.8213388155762
