run,direction,strategy,sharpe,sortino,treynor,information,calmar,cum_ret,mdd,mer
884,long,baseline,0.077111479412071,0.13210017185720924,0.02205754065827498,-0.040655508466814254,-0.08950178145461718,-0.4747457684884042,0.771406926379192,-0.0014272026093474705
884,long,gps,0.09760802940890093,0.20438470967570643,0.040951523679853,-0.04124203705145144,-0.03632516444343068,-0.24926406406114265,0.8631386374936271,-0.0012736830827763596
884,long,weighted,0.3705915760201493,0.6620087668545868,0.05383207533029974,,0.1352965652460672,0.4781296686733827,0.32799174621469074,0.0
884,short,baseline,0.4444960970931636,0.7907888834683133,0.17082886464625374,0.654325228880997,0.1356701327296516,1.490883283068333,0.7866420953312294,0.02825352637621701
884,short,gps,0.1538532003895211,0.23894333049753477,0.05019859710111703,0.3942528498975168,-0.040705107220603665,-0.2668982237752362,0.8330286181135897,0.013574208217231895
884,short,weighted,0.3673997782697718,0.6467444011579219,0.053326359111244934,5.055474785108047,0.10125682884620173,0.4879656624350268,0.44585699405964463,0.012339247633643066
885,long,baseline,0.2665467106375813,0.4194146857377035,0.1007423364494657,0.09058216035671009,0.02142028465424056,0.1353531743243972,0.6631474050710229,0.003379585970023354
885,long,gps,0.5035500520369622,0.9661693040819718,0.3694496308085926,0.2649798067485984,0.24899543614224887,1.9573134362038545,0.5141994690568685,0.008098366266831874
885,long,weighted,0.6239075992994431,0.9948982264162957,0.08749086951521816,,0.23469326212318192,1.009195275569121,0.34347113773407756,0.0
885,short,baseline,0.1764813473648415,0.3026345368061201,0.05576447709290629,0.45147860762591746,-0.05304125737343424,-0.3162302345769368,0.7797242212815125,0.018493158232576926
885,short,gps,-0.17282403969109839,-0.2903594428232239,-0.060621184547761636,0.1503061577169659,-0.1689842238008638,-0.7508636463846534,0.8467392233571589,0.004711224892464592
885,short,weighted,0.11862992711089738,0.23566977039412776,0.01682233049616213,4.866931046514835,0.015153530026466987,0.06522250098350524,0.46491555308881516,0.012072828300900488
886,long,baseline,0.3421148767125289,0.5800473718586566,0.16757915702864806,0.20999272451326215,0.07712360613736279,0.615979500012346,0.7102144272013341,0.007649139783995899
886,long,gps,0.16346868109373813,0.2515176139979092,0.0960739581775762,0.01806675568735907,-0.03488763467756945,-0.2268947688944829,0.8079775037131014,0.0006547149923133186
886,long,weighted,0.43078509873998105,0.7670700619914127,0.06548177029172889,,0.11092007658549319,0.6264495842574189,0.5006438254785632,0.0
886,short,baseline,-0.722654886823044,-1.1131629443440816,-0.47753590163312787,-0.509074458502901,-0.3619430457852539,-0.9814401768481699,0.988761614073252,-0.018999507121355917
886,short,gps,0.4272633078446695,0.6869922675595992,0.20998707112479498,0.6653695288624468,0.13365475618002207,1.2234691006837792,0.6946712050392816,0.026181709972904876
886,short,weighted,0.3260104520565457,0.558345334364972,0.04949714603195764,5.125913748028261,0.08108289155849242,0.41881403592676936,0.4888123840723463,0.012757886997587098
887,long,baseline,0.16780399181320463,0.28000425485941866,0.04834222702653587,0.11392092673252223,-0.026383642276806778,-0.1945086488568013,0.9000704873913982,0.003795541674995864
887,long,gps,0.6723982274176595,1.401133252081722,0.2629535416979038,0.6499985607505876,0.4917528458456493,5.289216326136409,0.46097282575265397,0.022065928139149513
887,long,weighted,0.2083120184148814,0.3438626926199573,0.030823389834601103,,0.04861736141321195,0.19628706776414107,0.4137046146471153,0.0
887,short,baseline,0.11448557855698763,0.20200776978497204,0.0349327570987495,0.31628852859200757,-0.05169110101458237,-0.28909813339736434,0.7197315170324228,0.00971872184052722
