Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2020-10-01,[CO | 18.6%],[CF | 9.8%],[CP | 9.1%],[LE | 8.9%],[HO | 8.8%],[CP | 9.7%],[ZS | 8.4%],[CT | 8.2%],[CC | 8.0%],[ZW | 7.0%]
2020-11-01,[CO | 28.5%],[HE | 12.7%],[HO | 10.6%],[CF | 8.3%],[SV | 7.2%],[GD | 10.3%],[CO | 9.2%],[ZW | 7.8%],[HE | 7.4%],[CF | 6.7%]
2020-12-01,[CO | 43.2%],[HO | 26.6%],[HE | 4.6%],[NG | 4.6%],[LE | 4.5%],[CO | 17.0%],[HO | 12.3%],[SU | 7.4%],[GD | 7.1%],[CT | 6.1%]
2021-01-01,[CO | 29.5%],[HO | 28.0%],[HE | 9.6%],[LE | 5.6%],[NG | 4.5%],[CO | 13.8%],[HO | 12.0%],[HE | 7.6%],[NG | 7.1%],[SU | 6.2%]
2021-02-01,[HO | 20.6%],[CO | 15.7%],[LE | 13.0%],[HE | 10.6%],[CT | 6.6%],[LE | 8.9%],[ZS | 8.6%],[HO | 8.0%],[HE | 7.7%],[CO | 7.1%]
2021-03-01,[CO | 13.8%],[HO | 12.8%],[HE | 12.4%],[LE | 11.6%],[CF | 10.4%],[LE | 8.7%],[CC | 8.4%],[SU | 8.3%],[HO | 8.0%],[CP | 7.2%]
2021-04-01,[HE | 11.9%],[CF | 11.2%],[LE | 10.4%],[NG | 10.2%],[CO | 10.1%],[CT | 10.0%],[ZS | 7.8%],[HE | 7.5%],[NG | 7.2%],[CF | 6.8%]
2021-05-01,[CO | 20.7%],[HO | 12.8%],[LE | 10.1%],[HE | 9.6%],[CF | 8.1%],[HO | 8.8%],[LE | 8.7%],[CO | 8.6%],[GD | 7.5%],[ZC | 7.2%]
2021-06-01,[HO | 18.3%],[CO | 18.2%],[CT | 9.2%],[NG | 8.3%],[HE | 8.1%],[HO | 9.2%],[CO | 9.2%],[SV | 8.8%],[HE | 7.9%],[GD | 7.4%]
2021-07-01,[HO | 17.5%],[CO | 16.3%],[HE | 10.9%],[LE | 9.7%],[NG | 7.7%],[HO | 9.5%],[CO | 9.0%],[NG | 8.2%],[CF | 8.2%],[SV | 8.1%]
2021-08-01,[CF | 13.9%],[HO | 12.9%],[CO | 11.1%],[HE | 10.3%],[CT | 8.0%],[CT | 10.9%],[HO | 8.8%],[CF | 7.6%],[ZC | 7.4%],[LE | 7.2%]
2021-09-01,[CF | 12.4%],[CO | 11.6%],[HE | 11.3%],[CP | 8.8%],[HO | 8.4%],[CF | 10.0%],[GD | 9.0%],[CP | 8.9%],[LE | 8.0%],[HE | 8.0%]
