Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-01-01,[CO | 18.4%],[LE | 15.0%],[HE | 12.6%],[NG | 11.1%],[HO | 9.9%],[NG | 9.2%],[CT | 8.6%],[LE | 8.5%],[CO | 7.6%],[HE | 7.4%]
2021-02-01,[CO | 28.9%],[HO | 18.6%],[HE | 9.0%],[CF | 8.5%],[LE | 7.7%],[CO | 14.0%],[HE | 9.0%],[NG | 8.2%],[SU | 7.9%],[HO | 7.9%]
2021-03-01,[CO | 30.6%],[HO | 23.5%],[NG | 8.0%],[LE | 6.3%],[HE | 5.8%],[CO | 13.7%],[HO | 10.0%],[NG | 7.6%],[CT | 7.4%],[ZC | 6.6%]
2021-04-01,[HO | 29.7%],[CO | 29.1%],[HE | 6.0%],[LE | 5.7%],[NG | 5.6%],[CO | 14.5%],[HO | 11.1%],[HE | 7.5%],[NG | 7.0%],[LE | 6.8%]
2021-05-01,[CO | 18.4%],[HO | 16.8%],[HE | 11.0%],[NG | 9.6%],[CT | 9.5%],[CO | 8.8%],[CT | 8.7%],[NG | 8.2%],[HE | 8.1%],[HO | 7.2%]
2021-06-01,[CF | 16.9%],[LE | 14.2%],[CO | 13.9%],[HO | 11.2%],[HE | 8.3%],[CF | 9.9%],[LE | 8.9%],[ZC | 8.1%],[NG | 7.8%],[HO | 7.8%]
2021-07-01,[CO | 11.8%],[NG | 11.3%],[CF | 11.0%],[CT | 10.7%],[CC | 9.0%],[CT | 8.7%],[CC | 8.0%],[GD | 8.0%],[NG | 7.7%],[CF | 7.4%]
2021-08-01,[CO | 16.7%],[HO | 12.1%],[SV | 9.8%],[NG | 9.5%],[HE | 9.4%],[SV | 9.1%],[GD | 8.6%],[NG | 8.5%],[CO | 8.5%],[HO | 7.2%]
2021-09-01,[HO | 15.9%],[CO | 13.7%],[CF | 12.9%],[NG | 8.2%],[SV | 7.1%],[CO | 10.7%],[CT | 8.8%],[HO | 8.2%],[ZW | 8.1%],[NG | 8.0%]
2021-10-01,[HO | 13.0%],[CO | 12.2%],[HE | 9.7%],[CF | 8.9%],[SV | 8.0%],[HE | 9.2%],[LE | 8.2%],[HO | 8.2%],[NG | 7.3%],[SV | 7.2%]
2021-11-01,[HE | 13.8%],[HO | 9.1%],[CO | 9.0%],[CF | 8.8%],[LE | 8.5%],[CT | 9.3%],[HE | 9.0%],[ZS | 8.0%],[LE | 7.8%],[SU | 7.3%]
2021-12-01,[CF | 15.1%],[HE | 12.9%],[HO | 12.0%],[CO | 9.6%],[GD | 9.0%],[GD | 9.8%],[HE | 9.2%],[ZW | 8.6%],[HO | 8.2%],[CF | 7.3%]
2022-01-01,[NG | 13.1%],[CT | 8.9%],[SV | 8.4%],[GD | 8.4%],[SU | 7.9%],[NG | 9.9%],[CT | 8.8%],[ZC | 8.1%],[GD | 7.3%],[SV | 6.9%]
2022-02-01,[NG | 11.9%],[SV | 10.3%],[CO | 9.9%],[GD | 9.6%],[LE | 9.4%],[SV | 8.7%],[LE | 8.3%],[CO | 7.3%],[ZS | 7.1%],[GD | 7.1%]
2022-03-01,[CF | 17.6%],[ZW | 11.4%],[NG | 11.1%],[GD | 8.9%],[CO | 6.7%],[CF | 9.5%],[ZW | 9.3%],[NG | 8.1%],[ZS | 7.3%],[CO | 7.1%]
2022-04-01,[NG | 26.0%],[CT | 10.5%],[ZW | 10.1%],[HE | 8.0%],[CF | 6.3%],[NG | 9.4%],[HE | 8.8%],[LE | 7.6%],[CT | 7.5%],[CF | 7.0%]
2022-05-01,[NG | 13.9%],[HE | 9.7%],[CO | 8.9%],[GD | 8.0%],[SU | 7.3%],[NG | 8.6%],[ZC | 8.2%],[GD | 7.4%],[SU | 7.0%],[CO | 6.8%]
2022-06-01,[NG | 14.0%],[CF | 13.8%],[HO | 10.3%],[SV | 7.4%],[LE | 7.4%],[CF | 8.2%],[LE | 7.7%],[CO | 7.7%],[CP | 7.6%],[GD | 7.5%]
2022-07-01,[NG | 16.8%],[HO | 14.3%],[ZC | 9.2%],[CT | 7.5%],[ZW | 7.3%],[SV | 8.7%],[ZW | 8.7%],[HO | 8.6%],[ZC | 7.9%],[LE | 7.4%]
2022-08-01,[NG | 36.5%],[HO | 10.9%],[CT | 9.8%],[CP | 9.0%],[ZC | 4.9%],[NG | 11.4%],[CP | 10.0%],[CC | 9.8%],[CT | 8.3%],[HO | 7.3%]
2022-09-01,[NG | 31.4%],[CF | 8.0%],[ZS | 8.0%],[HO | 7.9%],[CT | 7.8%],[NG | 10.1%],[CF | 7.9%],[ZC | 7.8%],[ZS | 7.2%],[SU | 6.9%]
2022-10-01,[NG | 19.3%],[HE | 17.8%],[ZW | 9.3%],[HO | 8.5%],[CT | 6.7%],[HE | 9.4%],[GD | 9.2%],[CC | 8.2%],[CP | 7.4%],[ZW | 7.0%]
2022-11-01,[CT | 17.3%],[NG | 12.8%],[ZW | 10.2%],[CP | 8.5%],[ZS | 8.4%],[ZW | 8.5%],[ZS | 7.8%],[CT | 7.4%],[HO | 7.4%],[SU | 6.7%]
2022-12-01,[NG | 31.7%],[CT | 27.3%],[HO | 6.7%],[ZW | 4.6%],[CP | 4.5%],[LE | 9.6%],[NG | 9.5%],[CT | 8.7%],[CP | 7.7%],[SU | 7.5%]
2023-01-01,[CT | 34.2%],[NG | 21.1%],[HO | 8.1%],[CF | 7.5%],[HE | 5.3%],[CT | 11.9%],[LE | 8.6%],[CF | 8.2%],[HO | 7.5%],[ZC | 7.5%]
2023-02-01,[HO | 14.3%],[NG | 13.3%],[ZW | 12.9%],[CT | 11.8%],[CP | 9.5%],[HO | 8.7%],[CP | 8.0%],[LE | 8.0%],[ZW | 8.0%],[CO | 7.0%]
2023-03-01,[NG | 22.2%],[CT | 14.2%],[HO | 13.0%],[HE | 8.7%],[ZC | 6.8%],[CC | 8.6%],[HO | 8.6%],[NG | 8.0%],[HE | 7.8%],[ZS | 7.8%]
