ticker,year,month,return,contract,start_date,start_value,end_date,end_value
SU,2003,4,-0.04325032765399739,SU_2003-05,2003-04-01,7.63,2003-04-30,7.3
SU,2003,5,-0.03013698630136985,SU_2003-07,2003-05-01,7.3,2003-05-30,7.08
SU,2003,6,-0.10593220338983056,SU_2003-07,2003-06-02,7.08,2003-06-30,6.33
SU,2003,8,-0.12273361227336121,SU_2003-10,2003-08-01,7.17,2003-08-29,6.29
SU,2003,9,0.0,SU_2003-10,2003-09-02,6.2,2003-09-30,6.2
SU,2003,11,-0.009259259259259411,SU_2004-01,2003-11-03,5.4,2003-11-26,5.35
SU,2003,12,-0.7185185185185186,SU_2004-01,2003-12-01,5.4,2003-12-31,1.52
SU,2004,1,0.020905923344947785,SU_2004-03,2004-01-05,5.74,2004-01-30,5.86
SU,2004,2,0.04869565217391303,SU_2004-03,2004-02-02,5.75,2004-02-27,6.03
SU,2004,3,0.037277147487844386,SU_2004-05,2004-03-01,6.17,2004-03-31,6.4
SU,2004,4,0.018575851393188847,SU_2004-05,2004-04-01,6.46,2004-04-30,6.58
SU,2004,5,0.014367816091954033,SU_2004-07,2004-05-03,6.96,2004-05-28,7.06
SU,2004,6,0.02259887005649719,SU_2004-07,2004-06-01,7.08,2004-06-30,7.24
SU,2004,8,-0.035024154589371914,SU_2004-10,2004-08-02,8.28,2004-08-31,7.99
SU,2004,9,0.046798029556650356,SU_2004-10,2004-09-01,8.12,2004-09-30,8.5
SU,2005,1,0.01541850220264318,SU_2005-03,2005-01-03,9.08,2005-01-31,9.22
SU,2005,2,-0.062360801781737196,SU_2005-03,2005-02-01,8.98,2005-02-28,8.42
SU,2005,3,-0.05639913232104132,SU_2005-05,2005-03-01,9.22,2005-03-31,8.7
SU,2005,4,-0.012614678899082743,SU_2005-05,2005-04-01,8.72,2005-04-29,8.61
SU,2005,5,0.012716763005780285,SU_2005-07,2005-05-02,8.65,2005-05-31,8.76
SU,2005,6,0.07727797001153403,SU_2005-07,2005-06-01,8.67,2005-06-30,9.34
SU,2005,8,0.02860061287027582,SU_2005-10,2005-08-01,9.79,2005-08-31,10.07
SU,2005,9,0.09390609390609383,SU_2005-10,2005-09-01,10.01,2005-09-30,10.95
SU,2006,1,0.23424657534246585,SU_2006-03,2006-01-03,14.6,2006-01-31,18.02
SU,2006,2,-0.06060606060606066,SU_2006-03,2006-02-01,17.82,2006-02-28,16.74
SU,2006,3,0.05294117647058805,SU_2006-05,2006-03-01,17.0,2006-03-31,17.9
SU,2006,4,-0.056198347107437985,SU_2006-05,2006-04-03,18.15,2006-04-28,17.13
SU,2006,5,-0.12159090909090908,SU_2006-07,2006-05-01,17.6,2006-05-31,15.46
SU,2006,6,0.042244224422442134,SU_2006-07,2006-06-01,15.15,2006-06-30,15.79
SU,2006,8,-0.2107023411371236,SU_2006-10,2006-08-01,14.95,2006-08-31,11.8
SU,2006,9,-0.07659574468085106,SU_2006-10,2006-09-01,11.75,2006-09-29,10.85
SU,2007,1,-0.08620689655172409,SU_2007-03,2007-01-03,11.6,2007-01-31,10.6
SU,2007,2,0.06698113207547185,SU_2007-03,2007-02-01,10.6,2007-02-28,11.31
SU,2007,3,-0.07317073170731703,SU_2007-05,2007-03-01,10.66,2007-03-30,9.88
SU,2007,4,-0.05714285714285716,SU_2007-05,2007-04-02,9.8,2007-04-30,9.24
SU,2007,5,0.03204419889502752,SU_2007-07,2007-05-01,9.05,2007-05-31,9.34
SU,2007,6,-0.003296703296703174,SU_2007-07,2007-06-01,9.1,2007-06-29,9.07
SU,2007,8,-0.07421875,SU_2007-10,2007-08-01,10.24,2007-08-31,9.48
SU,2007,9,0.00525762355415349,SU_2007-10,2007-09-04,9.51,2007-09-28,9.56
SU,2008,1,0.15838800374882855,SU_2008-03,2008-01-02,10.67,2008-01-31,12.36
SU,2008,2,0.143429487179487,SU_2008-03,2008-02-01,12.48,2008-02-29,14.27
SU,2008,3,-0.20204778156996595,SU_2008-05,2008-03-03,14.65,2008-03-31,11.69
SU,2008,4,-0.08896492728828054,SU_2008-05,2008-04-01,11.69,2008-04-30,10.65
SU,2008,5,-0.1593959731543625,SU_2008-07,2008-05-01,11.92,2008-05-30,10.02
SU,2008,6,0.20159680638722555,SU_2008-07,2008-06-02,10.02,2008-06-30,12.04
SU,2008,8,-0.0793650793650793,SU_2008-10,2008-08-01,13.86,2008-08-29,12.76
SU,2008,9,-0.026771653543307128,SU_2008-10,2008-09-02,12.7,2008-09-30,12.36
SU,2009,1,0.07372881355932193,SU_2009-03,2009-01-02,11.8,2009-01-30,12.67
SU,2009,2,0.06735340729001593,SU_2009-03,2009-02-02,12.62,2009-02-27,13.47
SU,2009,3,-0.07518248175182474,SU_2009-05,2009-03-02,13.7,2009-03-31,12.67
SU,2009,4,0.10717100078802222,SU_2009-05,2009-04-01,12.69,2009-04-30,14.05
SU,2009,5,0.08495821727019504,SU_2009-07,2009-05-01,14.36,2009-05-29,15.58
SU,2009,6,0.07138304652645,SU_2009-07,2009-06-01,15.69,2009-06-30,16.81
SU,2009,8,0.30358097274184925,SU_2009-10,2009-08-03,18.71,2009-08-31,24.39
SU,2009,9,-0.013093289689034338,SU_2009-10,2009-09-01,24.44,2009-09-30,24.12
SU,2009,11,-0.039181541140618115,SU_2010-01,2009-11-02,22.97,2009-11-30,22.07
SU,2009,12,0.15810629745422067,SU_2010-01,2009-12-01,22.39,2009-12-22,25.93
SU,2010,1,0.1074074074074074,SU_2010-03,2010-01-04,27.0,2010-01-29,29.9
SU,2010,2,-0.19297658862876255,SU_2010-03,2010-02-01,29.9,2010-02-26,24.13
SU,2010,3,-0.29703389830508475,SU_2010-05,2010-03-01,23.6,2010-03-31,16.59
SU,2010,4,-0.09337349397590367,SU_2010-05,2010-04-01,16.6,2010-04-30,15.05
SU,2010,5,-0.06336633663366342,SU_2010-07,2010-05-03,15.15,2010-05-28,14.19
SU,2010,6,0.2706131078224103,SU_2010-07,2010-06-01,14.19,2010-06-30,18.03
SU,2010,8,0.007653061224489832,SU_2010-10,2010-08-02,19.6,2010-08-31,19.75
SU,2010,9,0.2758446797781142,SU_2010-10,2010-09-01,19.83,2010-09-30,25.3
SU,2011,1,0.05268050821196146,SU_2011-03,2011-01-04,32.27,2011-01-31,33.97
SU,2011,2,-0.04297909920518106,SU_2011-03,2011-02-01,33.97,2011-02-28,32.51
