Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-02-01,[LE | 18.3%],[HE | 14.4%],[CO | 13.2%],[CC | 9.5%],[CT | 7.7%],[HE | 8.9%],[LE | 8.7%],[GD | 8.1%],[CC | 7.8%],[SU | 7.3%]
2021-03-01,[CO | 21.8%],[HE | 20.3%],[SU | 8.8%],[LE | 8.8%],[HO | 8.5%],[HE | 10.5%],[CO | 9.5%],[NG | 7.6%],[SU | 7.2%],[LE | 7.2%]
2021-04-01,[CP | 18.1%],[CO | 14.8%],[CF | 8.6%],[HE | 8.5%],[HO | 7.9%],[CP | 9.7%],[GD | 7.9%],[SV | 7.6%],[CF | 7.4%],[ZC | 7.3%]
2021-05-01,[CO | 13.8%],[HO | 11.0%],[SV | 10.3%],[HE | 10.2%],[CF | 7.9%],[CC | 8.3%],[LE | 7.6%],[ZS | 7.6%],[GD | 7.5%],[CF | 7.5%]
2021-06-01,[CC | 16.7%],[HE | 14.0%],[CP | 11.1%],[NG | 10.0%],[HO | 7.5%],[CP | 10.8%],[HE | 8.5%],[NG | 8.3%],[CC | 7.7%],[SV | 7.5%]
2021-07-01,[HE | 16.6%],[HO | 13.6%],[LE | 11.7%],[CP | 10.4%],[CT | 8.2%],[LE | 10.2%],[HE | 9.5%],[CT | 8.2%],[CP | 8.1%],[SV | 7.1%]
2021-08-01,[CO | 16.4%],[HE | 13.2%],[HO | 11.5%],[LE | 11.4%],[SU | 8.1%],[HE | 9.3%],[CF | 8.4%],[SU | 8.4%],[ZC | 8.3%],[LE | 7.6%]
2021-09-01,[CO | 28.1%],[SU | 11.8%],[LE | 11.0%],[CP | 9.0%],[HO | 8.7%],[CO | 10.6%],[CP | 9.1%],[NG | 8.5%],[CC | 8.4%],[LE | 8.3%]
2021-10-01,[CO | 24.7%],[HO | 11.4%],[LE | 8.8%],[CC | 7.6%],[HE | 7.5%],[CO | 10.9%],[ZW | 9.2%],[LE | 8.2%],[HO | 8.1%],[SV | 7.5%]
2021-11-01,[SV | 17.7%],[HO | 15.9%],[CO | 15.2%],[NG | 11.1%],[CT | 6.9%],[SV | 11.2%],[HO | 9.0%],[CO | 8.4%],[NG | 7.8%],[ZC | 7.4%]
2021-12-01,[CC | 20.0%],[CO | 11.4%],[SV | 11.3%],[CP | 8.3%],[NG | 7.2%],[CC | 12.5%],[SV | 8.7%],[CP | 8.0%],[ZW | 7.3%],[SU | 7.1%]
2022-01-01,[CO | 23.6%],[CF | 12.4%],[HO | 8.3%],[HE | 7.5%],[SU | 7.3%],[CF | 12.2%],[CO | 11.2%],[SU | 9.3%],[HE | 7.0%],[SV | 6.9%]
2022-02-01,[HO | 23.9%],[CO | 14.6%],[HE | 11.1%],[SU | 8.5%],[CP | 8.2%],[HO | 11.6%],[CO | 8.9%],[ZW | 8.5%],[SU | 8.4%],[CP | 8.0%]
2022-03-01,[HO | 33.4%],[CO | 25.0%],[NG | 8.9%],[CT | 6.4%],[HE | 5.6%],[HO | 16.8%],[CO | 10.8%],[NG | 8.7%],[CT | 8.5%],[SV | 6.5%]
2022-04-01,[CO | 15.5%],[HO | 12.0%],[CF | 11.8%],[LE | 8.2%],[CC | 8.0%],[ZS | 9.1%],[ZC | 8.8%],[CF | 8.7%],[LE | 8.7%],[CC | 7.7%]
2022-05-01,[LE | 15.8%],[NG | 15.7%],[SV | 11.2%],[CT | 8.2%],[ZC | 7.2%],[LE | 11.9%],[ZC | 8.6%],[CT | 8.6%],[GD | 8.2%],[ZS | 7.9%]
2022-06-01,[LE | 16.0%],[CO | 14.6%],[HO | 12.0%],[HE | 9.6%],[NG | 8.3%],[LE | 11.3%],[CO | 8.5%],[CF | 8.4%],[ZC | 7.7%],[HE | 7.7%]
2022-07-01,[NG | 15.6%],[CC | 12.8%],[CO | 10.8%],[SV | 10.7%],[HE | 9.9%],[NG | 10.8%],[CC | 9.4%],[GD | 7.8%],[SV | 7.7%],[HE | 7.5%]
2022-08-01,[CO | 15.0%],[HE | 10.9%],[HO | 10.4%],[SV | 10.1%],[LE | 10.1%],[ZW | 9.9%],[SV | 9.7%],[HE | 8.6%],[SU | 8.3%],[CO | 8.0%]
2022-09-01,[HO | 18.3%],[CO | 12.0%],[CT | 9.4%],[NG | 9.0%],[SV | 8.1%],[HO | 11.1%],[CO | 8.3%],[HE | 7.6%],[CF | 7.2%],[CT | 7.0%]
2022-10-01,[CO | 17.6%],[CT | 16.2%],[CC | 10.8%],[HO | 9.4%],[SV | 9.1%],[CT | 11.3%],[CO | 9.4%],[CF | 9.2%],[HO | 8.5%],[CC | 8.3%]
2022-11-01,[CT | 24.4%],[NG | 23.3%],[CO | 11.1%],[CF | 6.3%],[HO | 5.3%],[CT | 12.3%],[NG | 11.9%],[ZW | 9.8%],[CO | 7.9%],[GD | 7.2%]
2022-12-01,[SV | 20.8%],[HE | 13.2%],[CF | 12.7%],[GD | 8.3%],[SU | 7.7%],[SV | 11.3%],[HE | 9.9%],[GD | 9.6%],[CF | 9.3%],[SU | 7.6%]
2023-01-01,[NG | 11.1%],[CO | 10.6%],[HE | 9.1%],[CP | 8.7%],[CF | 7.6%],[ZW | 9.7%],[SV | 8.1%],[SU | 7.7%],[GD | 7.6%],[NG | 7.5%]
2023-02-01,[NG | 43.1%],[CT | 11.9%],[SV | 5.8%],[CF | 5.2%],[CC | 5.0%],[NG | 13.3%],[CT | 10.9%],[ZW | 7.5%],[GD | 6.9%],[ZS | 6.8%]
2023-03-01,[NG | 28.0%],[CT | 19.0%],[ZW | 6.9%],[CC | 6.5%],[CP | 5.0%],[NG | 13.3%],[CT | 10.5%],[ZW | 8.8%],[CC | 8.1%],[ZC | 7.6%]
2023-04-01,[CT | 15.9%],[CO | 12.2%],[HO | 10.3%],[SV | 9.0%],[ZC | 8.9%],[CO | 9.1%],[SU | 8.9%],[HO | 8.8%],[CT | 8.2%],[ZC | 7.6%]
2023-05-01,[CO | 17.1%],[NG | 11.4%],[CF | 11.1%],[CT | 10.7%],[HO | 7.3%],[CO | 9.1%],[CF | 8.9%],[CT | 7.4%],[CC | 7.4%],[SU | 7.0%]
2023-06-01,[NG | 35.3%],[CT | 17.9%],[SV | 7.3%],[HE | 6.5%],[CO | 6.1%],[NG | 14.9%],[CT | 9.2%],[HE | 8.6%],[CP | 8.0%],[HO | 7.3%]
2023-07-01,[CT | 13.3%],[CF | 12.2%],[SV | 10.4%],[HO | 7.2%],[ZS | 6.9%],[CF | 9.2%],[ZS | 8.2%],[ZC | 8.2%],[ZW | 8.1%],[SU | 7.6%]
2023-08-01,[NG | 19.8%],[CP | 9.9%],[CT | 9.3%],[HO | 8.7%],[CF | 8.6%],[NG | 10.4%],[CP | 8.6%],[CT | 7.7%],[HO | 7.6%],[SU | 7.1%]
2023-09-01,[NG | 13.5%],[CT | 12.8%],[SV | 12.3%],[CP | 11.7%],[CO | 9.1%],[SV | 9.3%],[CP | 9.3%],[ZS | 8.2%],[NG | 8.2%],[CC | 8.1%]
2023-10-01,[NG | 29.4%],[CF | 11.7%],[CT | 8.8%],[SV | 8.2%],[CP | 7.3%],[NG | 11.0%],[CF | 10.0%],[CP | 8.3%],[SV | 8.2%],[CC | 7.1%]
2023-11-01,[CT | 13.3%],[GD | 12.1%],[SU | 11.1%],[SV | 8.7%],[ZC | 8.6%],[SU | 10.6%],[GD | 10.6%],[SV | 8.0%],[HE | 7.8%],[ZC | 7.6%]
2023-12-01,[NG | 19.6%],[CT | 12.3%],[SV | 9.0%],[CP | 8.3%],[CO | 6.4%],[NG | 9.4%],[SU | 8.1%],[HE | 7.6%],[CC | 7.6%],[SV | 7.6%]
2024-01-01,[NG | 22.8%],[CT | 11.1%],[CF | 11.0%],[HE | 8.1%],[ZC | 7.0%],[NG | 11.2%],[HE | 9.1%],[CF | 7.9%],[ZC | 7.4%],[CT | 7.3%]
2024-02-01,[NG | 16.3%],[CT | 10.6%],[SU | 10.4%],[CO | 10.0%],[CF | 8.1%],[CO | 9.1%],[HO | 9.0%],[NG | 8.7%],[CF | 7.9%],[SU | 7.7%]
2024-03-01,[CT | 17.5%],[SV | 8.7%],[ZC | 8.7%],[CO | 8.4%],[CP | 7.7%],[CT | 8.9%],[ZC | 8.6%],[SV | 8.5%],[CP | 7.9%],[CC | 7.0%]
2024-04-01,[NG | 40.5%],[CC | 14.3%],[CT | 10.6%],[ZW | 7.0%],[CF | 5.1%],[NG | 17.5%],[CC | 10.9%],[ZW | 7.9%],[CF | 7.7%],[CT | 7.4%]
2024-05-01,[NG | 19.5%],[CT | 18.1%],[CC | 16.4%],[ZW | 8.5%],[CP | 6.3%],[NG | 11.0%],[CC | 10.6%],[CT | 9.7%],[ZW | 9.4%],[HE | 7.8%]
2024-06-01,[CC | 20.9%],[CT | 18.3%],[NG | 13.8%],[HE | 6.3%],[CP | 6.3%],[CT | 11.5%],[CC | 9.9%],[HE | 8.5%],[NG | 7.6%],[CP | 7.4%]
2024-07-01,[NG | 41.6%],[CC | 12.3%],[CT | 9.6%],[CF | 5.3%],[SU | 4.8%],[NG | 15.2%],[CC | 9.4%],[CF | 7.7%],[CT | 7.4%],[SU | 7.1%]
2024-08-01,[NG | 29.7%],[CT | 17.2%],[ZW | 9.8%],[CC | 9.2%],[CO | 4.8%],[NG | 13.7%],[CT | 8.8%],[ZW | 8.8%],[CO | 7.3%],[CC | 7.0%]
2024-09-01,[CC | 20.8%],[CT | 18.0%],[NG | 13.2%],[CF | 7.4%],[ZW | 7.4%],[CC | 10.4%],[CF | 8.3%],[CT | 8.2%],[ZS | 8.1%],[GD | 7.3%]
2024-10-01,[CT | 16.8%],[CC | 16.2%],[ZW | 9.9%],[CF | 8.3%],[GD | 7.3%],[CC | 9.0%],[ZW | 8.2%],[CF | 8.1%],[ZS | 8.0%],[CO | 8.0%]
2024-11-01,[NG | 21.9%],[CC | 14.3%],[CT | 11.3%],[CO | 9.3%],[HO | 8.0%],[NG | 11.5%],[CC | 9.7%],[CO | 8.4%],[HO | 8.0%],[CT | 7.7%]
2024-12-01,[CC | 31.1%],[CT | 17.2%],[NG | 9.8%],[CF | 8.0%],[HO | 7.2%],[CC | 13.9%],[HE | 9.1%],[HO | 8.7%],[CT | 8.4%],[CF | 7.7%]
