Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2019-04-01,[CO | 24.1%],[NG | 17.0%],[ZS | 15.1%],[HO | 11.3%],[CC | 10.1%],[CO | 14.5%],[ZS | 12.6%],[HO | 11.9%],[CC | 10.0%],[NG | 9.1%]
2019-05-01,[NG | 31.6%],[HE | 20.1%],[ZW | 9.7%],[SU | 8.8%],[HO | 5.4%],[HE | 15.3%],[NG | 13.4%],[ZW | 9.5%],[SU | 8.3%],[ZS | 7.7%]
2019-06-01,[NG | 34.9%],[SU | 29.1%],[LE | 7.2%],[CC | 6.3%],[CO | 6.0%],[LE | 14.6%],[NG | 13.6%],[SU | 12.6%],[CC | 9.0%],[CO | 7.7%]
2019-07-01,[ZW | 21.2%],[CF | 18.0%],[CP | 17.0%],[SU | 11.6%],[SV | 10.6%],[CP | 14.2%],[CF | 12.6%],[SU | 8.6%],[SV | 8.4%],[ZW | 8.4%]
2019-08-01,[HO | 24.0%],[GD | 22.0%],[SV | 21.9%],[SU | 8.0%],[CO | 6.2%],[GD | 16.2%],[HO | 14.6%],[SV | 10.9%],[CT | 7.3%],[SU | 7.2%]
2019-09-01,[SU | 33.3%],[NG | 24.2%],[HE | 14.9%],[CO | 7.7%],[HO | 4.4%],[SU | 15.4%],[HE | 12.1%],[NG | 9.9%],[CO | 9.1%],[LE | 9.0%]
2019-10-01,[ZC | 31.9%],[SU | 19.0%],[ZW | 13.4%],[ZS | 10.8%],[CT | 5.7%],[ZC | 15.9%],[SU | 11.7%],[ZS | 10.6%],[LE | 9.6%],[ZW | 9.5%]
2019-11-01,[NG | 35.3%],[HE | 15.5%],[CP | 12.3%],[ZS | 7.8%],[CT | 7.3%],[HE | 13.1%],[NG | 12.7%],[CP | 9.5%],[ZS | 8.1%],[CT | 7.6%]
2019-12-01,[CT | 27.1%],[CP | 20.1%],[SU | 18.4%],[ZC | 13.3%],[ZW | 6.0%],[CT | 14.0%],[CP | 12.0%],[LE | 10.4%],[ZC | 10.3%],[SU | 9.7%]
2020-01-01,[SV | 29.6%],[GD | 18.9%],[CT | 13.4%],[CF | 11.4%],[ZC | 4.1%],[GD | 17.9%],[SV | 12.8%],[CT | 10.3%],[CF | 8.2%],[HE | 7.2%]
2020-02-01,[HO | 22.4%],[CO | 13.8%],[CT | 12.0%],[CP | 9.9%],[ZS | 9.8%],[LE | 12.3%],[HO | 11.6%],[ZS | 9.0%],[CP | 8.6%],[CO | 8.5%]
2020-03-01,[CO | 27.9%],[CT | 19.0%],[HE | 14.0%],[NG | 10.9%],[SV | 8.3%],[CO | 11.8%],[HE | 10.6%],[CT | 10.4%],[HO | 8.4%],[NG | 8.2%]
2020-04-01,[CO | 35.3%],[NG | 19.0%],[HO | 16.3%],[CC | 16.1%],[ZS | 3.1%],[CO | 14.2%],[CC | 12.9%],[HO | 11.4%],[NG | 9.8%],[ZS | 9.5%]
2020-05-01,[HE | 35.4%],[NG | 22.2%],[ZW | 11.7%],[ZC | 10.7%],[SU | 8.3%],[HE | 15.5%],[ZW | 11.7%],[NG | 10.4%],[ZC | 8.8%],[SU | 7.9%]
2020-06-01,[NG | 27.5%],[SU | 19.6%],[CF | 15.6%],[CO | 10.5%],[CC | 8.1%],[SU | 12.6%],[LE | 11.9%],[CF | 9.6%],[CO | 8.2%],[CC | 8.0%]
2020-07-01,[ZW | 21.1%],[SV | 20.5%],[SU | 12.6%],[NG | 9.1%],[CF | 8.5%],[CP | 9.5%],[SV | 9.3%],[LE | 8.7%],[ZW | 8.5%],[CF | 8.1%]
2020-08-01,[GD | 35.4%],[SV | 23.6%],[HO | 20.2%],[NG | 5.9%],[CO | 5.0%],[GD | 14.2%],[HO | 12.2%],[SV | 10.9%],[NG | 7.5%],[CC | 7.3%]
2020-09-01,[SU | 34.8%],[HE | 30.1%],[CO | 8.4%],[HO | 5.8%],[NG | 5.6%],[LE | 11.3%],[HE | 10.5%],[SU | 9.6%],[HO | 7.7%],[CO | 7.7%]
2020-10-01,[SU | 32.0%],[ZC | 25.9%],[ZW | 10.0%],[ZS | 7.3%],[LE | 6.9%],[LE | 13.6%],[ZC | 11.6%],[ZS | 9.1%],[SU | 9.0%],[ZW | 8.3%]
2020-11-01,[NG | 32.5%],[CP | 10.4%],[HE | 10.4%],[CF | 8.6%],[CT | 8.3%],[LE | 11.5%],[NG | 9.9%],[CP | 9.9%],[CT | 9.7%],[HE | 8.5%]
2020-12-01,[CT | 36.2%],[CP | 12.9%],[ZC | 11.3%],[ZW | 8.9%],[SU | 7.4%],[CT | 10.7%],[LE | 9.7%],[CP | 9.7%],[ZC | 9.0%],[ZS | 8.8%]
2021-01-01,[SV | 29.7%],[GD | 26.3%],[CT | 18.8%],[ZC | 10.3%],[ZW | 3.8%],[GD | 15.5%],[SV | 12.2%],[CT | 11.3%],[ZC | 8.8%],[CC | 7.9%]
2021-02-01,[HO | 17.7%],[CC | 15.2%],[ZS | 11.6%],[SU | 10.3%],[CP | 8.8%],[ZS | 10.9%],[CP | 10.3%],[CC | 9.8%],[HO | 8.7%],[ZC | 7.3%]
2021-03-01,[NG | 34.4%],[ZW | 22.8%],[CT | 14.3%],[CF | 7.5%],[SV | 4.6%],[NG | 10.3%],[CT | 9.7%],[ZW | 9.5%],[HE | 8.7%],[CF | 7.9%]
2021-04-01,[NG | 41.5%],[CC | 22.6%],[CO | 12.8%],[HO | 5.2%],[SV | 4.0%],[CC | 12.0%],[GD | 10.4%],[NG | 9.9%],[HO | 9.3%],[CO | 7.8%]
2021-05-01,[CO | 29.1%],[HE | 17.4%],[ZW | 12.0%],[ZC | 9.6%],[SU | 9.2%],[ZC | 10.7%],[ZW | 10.5%],[HE | 9.4%],[HO | 8.6%],[LE | 8.2%]
2021-06-01,[SU | 23.9%],[NG | 19.2%],[CO | 17.9%],[CF | 8.4%],[HO | 7.4%],[SU | 11.5%],[LE | 10.8%],[CP | 9.6%],[HO | 8.6%],[NG | 8.0%]
2021-07-01,[SV | 60.4%],[CF | 11.6%],[GD | 8.5%],[NG | 4.0%],[CP | 3.0%],[GD | 13.3%],[LE | 11.9%],[SV | 9.5%],[CF | 8.5%],[CP | 8.2%]
